Status,Quadrat ID,Location,Date,Length mm,Growth bands ,Shell erosion mm,Notes
Unharvested,4,St. Pierre Creek,2/6/2017,87.5,,,
Unharvested,4,St. Pierre Creek,2/6/2017,88,,,
Unharvested,4,St. Pierre Creek,2/6/2017,89,,,
Unharvested,4,St. Pierre Creek,2/6/2017,89.4,,,
Unharvested,4,St. Pierre Creek,2/6/2017,90.4,,,
Unharvested,4,St. Pierre Creek,2/6/2017,90.9,,,
Unharvested,4,St. Pierre Creek,2/6/2017,92.2,,,
Unharvested,4,St. Pierre Creek,2/6/2017,92.5,,,
Unharvested,4,St. Pierre Creek,2/6/2017,93.4,,,
Unharvested,4,St. Pierre Creek,2/6/2017,94.7,,,
Unharvested,4,St. Pierre Creek,2/6/2017,96.4,,,
Unharvested,4,St. Pierre Creek,2/6/2017,98.7,,,
Unharvested,4,St. Pierre Creek,2/6/2017,100.9,,,
Unharvested,4,St. Pierre Creek,2/6/2017,102,,,
Unharvested,5,St. Pierre Creek,2/6/2017,94.7,12,,
Unharvested,5,St. Pierre Creek,2/6/2017,89.8,10,16,
Unharvested,5,St. Pierre Creek,2/6/2017,89.6,8,,
Unharvested,5,St. Pierre Creek,2/6/2017,89.1,7,,
Unharvested,5,St. Pierre Creek,2/6/2017,90.4,7,,
Unharvested,5,St. Pierre Creek,2/6/2017,87.2,5,20.5,
Unharvested,5,St. Pierre Creek,2/6/2017,82.5,4,,
Unharvested,5,St. Pierre Creek,2/6/2017,87.2,3,,
Unharvested,5,St. Pierre Creek,2/6/2017,21.9,1,,
Unharvested,5,St. Pierre Creek,2/6/2017,32.8,1,,
Unharvested,5,St. Pierre Creek,2/6/2017,13,,,
Unharvested,5,St. Pierre Creek,2/6/2017,13.8,,,
Unharvested,5,St. Pierre Creek,2/6/2017,14,,,
Unharvested,5,St. Pierre Creek,2/6/2017,15.8,,,
Unharvested,5,St. Pierre Creek,2/6/2017,18.6,,,
Unharvested,5,St. Pierre Creek,2/6/2017,28.4,,,
Unharvested,5,St. Pierre Creek,2/6/2017,31.5,,,
Unharvested,5,St. Pierre Creek,2/6/2017,35,,,
Unharvested,5,St. Pierre Creek,2/6/2017,36.4,,,
Unharvested,5,St. Pierre Creek,2/6/2017,40.3,,,
Unharvested,5,St. Pierre Creek,2/6/2017,65.8,,,
Unharvested,5,St. Pierre Creek,2/6/2017,67.7,,,
Unharvested,5,St. Pierre Creek,2/6/2017,70.4,,,
Unharvested,5,St. Pierre Creek,2/6/2017,71.3,,,
Unharvested,5,St. Pierre Creek,2/6/2017,74.8,,,
Unharvested,5,St. Pierre Creek,2/6/2017,75,,,
Unharvested,5,St. Pierre Creek,2/6/2017,78.1,,,
Unharvested,5,St. Pierre Creek,2/6/2017,78.4,,,
Unharvested,5,St. Pierre Creek,2/6/2017,79.5,,,
Unharvested,5,St. Pierre Creek,2/6/2017,80,,,
Unharvested,5,St. Pierre Creek,2/6/2017,81,,,
Unharvested,5,St. Pierre Creek,2/6/2017,81.3,,,
Unharvested,5,St. Pierre Creek,2/6/2017,81.9,,,
Unharvested,5,St. Pierre Creek,2/6/2017,81.9,,,
Unharvested,5,St. Pierre Creek,2/6/2017,82.6,,,
Unharvested,5,St. Pierre Creek,2/6/2017,83.2,,,
Unharvested,5,St. Pierre Creek,2/6/2017,83.2,,,
Unharvested,5,St. Pierre Creek,2/6/2017,83.9,,,
Unharvested,5,St. Pierre Creek,2/6/2017,84.9,,,
Unharvested,5,St. Pierre Creek,2/6/2017,85.2,,,
Unharvested,5,St. Pierre Creek,2/6/2017,85.5,,,
Unharvested,5,St. Pierre Creek,2/6/2017,85.7,,,
Unharvested,5,St. Pierre Creek,2/6/2017,86.1,,,
Unharvested,5,St. Pierre Creek,2/6/2017,88.2,,,
Unharvested,5,St. Pierre Creek,2/6/2017,88.7,,,
Unharvested,5,St. Pierre Creek,2/6/2017,89.3,,,
Unharvested,5,St. Pierre Creek,2/6/2017,89.5,,,
Unharvested,5,St. Pierre Creek,2/6/2017,90.1,,,
Unharvested,5,St. Pierre Creek,2/6/2017,91.4,,,
Unharvested,5,St. Pierre Creek,2/6/2017,92.1,,,
Unharvested,5,St. Pierre Creek,2/6/2017,93.8,,,
Unharvested,5,St. Pierre Creek,2/6/2017,94.1,,,
Unharvested,5,St. Pierre Creek,2/6/2017,94.2,,,
Unharvested,5,St. Pierre Creek,2/6/2017,96,,,
Unharvested,5,St. Pierre Creek,2/6/2017,97.3,,,
Unharvested,5,St. Pierre Creek,2/6/2017,98.6,,,
Unharvested,5,St. Pierre Creek,2/6/2017,100.1,,,
Unharvested,5,St. Pierre Creek,2/6/2017,100.5,,,
Unharvested,6,St. Pierre Creek,2/6/2017,96,11,,
Unharvested,6,St. Pierre Creek,2/6/2017,82.7,4,,
Unharvested,6,St. Pierre Creek,2/6/2017,92.5,4,,Difficult
Unharvested,6,St. Pierre Creek,2/6/2017,76.5,2,,
Unharvested,6,St. Pierre Creek,2/6/2017,83,2,,
Unharvested,6,St. Pierre Creek,2/6/2017,84.1,2,,
Unharvested,6,St. Pierre Creek,2/6/2017,33,1,,
Unharvested,6,St. Pierre Creek,2/6/2017,42,1,,
Unharvested,6,St. Pierre Creek,2/6/2017,26.2,0,,
Unharvested,6,St. Pierre Creek,2/6/2017,27.7,0,,
Unharvested,6,St. Pierre Creek,2/6/2017,34.8,,,
Unharvested,6,St. Pierre Creek,2/6/2017,48.8,,,
Unharvested,6,St. Pierre Creek,2/6/2017,50.1,,,
Unharvested,6,St. Pierre Creek,2/6/2017,57,,,
Unharvested,6,St. Pierre Creek,2/6/2017,65.4,,,
Unharvested,6,St. Pierre Creek,2/6/2017,70.4,,,
Unharvested,6,St. Pierre Creek,2/6/2017,74.6,,,
Unharvested,6,St. Pierre Creek,2/6/2017,84.6,,,
Unharvested,6,St. Pierre Creek,2/6/2017,85.4,,,
Unharvested,6,St. Pierre Creek,2/6/2017,87.2,,,
Unharvested,6,St. Pierre Creek,2/6/2017,88.1,,,
Unharvested,6,St. Pierre Creek,2/6/2017,90.3,,,
Unharvested,6,St. Pierre Creek,2/6/2017,90.6,,,
Unharvested,6,St. Pierre Creek,2/6/2017,91.1,,,
Unharvested,6,St. Pierre Creek,2/6/2017,92.5,,,
Unharvested,6,St. Pierre Creek,2/6/2017,94.1,,,
Unharvested,6,St. Pierre Creek,2/6/2017,94.4,,,
Unharvested,6,St. Pierre Creek,2/6/2017,94.6,,,
Unharvested,6,St. Pierre Creek,2/6/2017,98.8,,,
Unharvested,6,St. Pierre Creek,2/6/2017,102.3,,,
Unharvested,6,St. Pierre Creek,2/6/2017,103.5,,,
Unharvested,6,St. Pierre Creek,2/6/2017,107.9,,,
Unharvested,7,St. Pierre Creek,2/6/2017,96.2,9,,Difficult
Unharvested,7,St. Pierre Creek,2/6/2017,101,9,,Difficult
Unharvested,7,St. Pierre Creek,2/6/2017,84.8,5,,
Unharvested,7,St. Pierre Creek,2/6/2017,93.9,5,,
Unharvested,7,St. Pierre Creek,2/6/2017,85.7,4,,
Unharvested,7,St. Pierre Creek,2/6/2017,76.7,3,,
Unharvested,7,St. Pierre Creek,2/6/2017,77.5,3,,
Unharvested,7,St. Pierre Creek,2/6/2017,79.1,3,,
Unharvested,7,St. Pierre Creek,2/6/2017,19.6,0,,
Unharvested,7,St. Pierre Creek,2/6/2017,26.4,,,
Unharvested,7,St. Pierre Creek,2/6/2017,43.1,,,
Unharvested,7,St. Pierre Creek,2/6/2017,44.5,,,
Unharvested,7,St. Pierre Creek,2/6/2017,45.6,,,
Unharvested,7,St. Pierre Creek,2/6/2017,50.2,,,
Unharvested,7,St. Pierre Creek,2/6/2017,51.4,,,
Unharvested,7,St. Pierre Creek,2/6/2017,52.1,,,
Unharvested,7,St. Pierre Creek,2/6/2017,56.6,,,
Unharvested,7,St. Pierre Creek,2/6/2017,66.6,,,
Unharvested,7,St. Pierre Creek,2/6/2017,70.4,,,
Unharvested,7,St. Pierre Creek,2/6/2017,71.3,,,
Unharvested,7,St. Pierre Creek,2/6/2017,73.3,,,
Unharvested,7,St. Pierre Creek,2/6/2017,77.3,,,
Unharvested,7,St. Pierre Creek,2/6/2017,81.9,,,
Unharvested,7,St. Pierre Creek,2/6/2017,81.9,,,
Unharvested,7,St. Pierre Creek,2/6/2017,85.1,,,
Unharvested,7,St. Pierre Creek,2/6/2017,87,,,
Unharvested,7,St. Pierre Creek,2/6/2017,87.7,,,
Unharvested,7,St. Pierre Creek,2/6/2017,88,,,
Unharvested,7,St. Pierre Creek,2/6/2017,88.2,,,
Unharvested,7,St. Pierre Creek,2/6/2017,88.2,,,
Unharvested,7,St. Pierre Creek,2/6/2017,90,,,
Unharvested,7,St. Pierre Creek,2/6/2017,93,,,
Unharvested,7,St. Pierre Creek,2/6/2017,93.7,,,
Unharvested,7,St. Pierre Creek,2/6/2017,95.3,,,
Unharvested,7,St. Pierre Creek,2/6/2017,99,,,
Unharvested,7,St. Pierre Creek,2/6/2017,100.9,,,
Unharvested,7,St. Pierre Creek,2/6/2017,102,,,
Unharvested,7,St. Pierre Creek,2/6/2017,102.9,,,
Unharvested,7,St. Pierre Creek,2/6/2017,104.5,,,
Unharvested,7,St. Pierre Creek,2/6/2017,115,,,
Unharvested,8,St. Pierre Creek,2/6/2017,99.3,12,,Difficult
Unharvested,8,St. Pierre Creek,2/6/2017,101.9,11,,
Unharvested,8,St. Pierre Creek,2/6/2017,96.1,8,,Difficult
Unharvested,8,St. Pierre Creek,2/6/2017,88.3,4,,
Unharvested,8,St. Pierre Creek,2/6/2017,92.4,4,,
Unharvested,8,St. Pierre Creek,2/6/2017,76.6,3,,
Unharvested,8,St. Pierre Creek,2/6/2017,84.2,3,,
Unharvested,8,St. Pierre Creek,2/6/2017,85.3,3,,
Unharvested,8,St. Pierre Creek,2/6/2017,72.3,2,,
Unharvested,8,St. Pierre Creek,2/6/2017,44.9,1,,
Unharvested,8,St. Pierre Creek,2/6/2017,9.7,,,
Unharvested,8,St. Pierre Creek,2/6/2017,43.1,,,
Unharvested,8,St. Pierre Creek,2/6/2017,54.8,,,
Unharvested,8,St. Pierre Creek,2/6/2017,74.5,,,
Unharvested,8,St. Pierre Creek,2/6/2017,81.3,,,
Unharvested,8,St. Pierre Creek,2/6/2017,81.6,,,
Unharvested,8,St. Pierre Creek,2/6/2017,84.1,,,
Unharvested,8,St. Pierre Creek,2/6/2017,84.9,,,
Unharvested,8,St. Pierre Creek,2/6/2017,86.9,,,
Unharvested,8,St. Pierre Creek,2/6/2017,87.4,,,
Unharvested,8,St. Pierre Creek,2/6/2017,87.8,,,
Unharvested,8,St. Pierre Creek,2/6/2017,90.1,,,
Unharvested,8,St. Pierre Creek,2/6/2017,90.1,,,
Unharvested,8,St. Pierre Creek,2/6/2017,90.8,,,
Unharvested,8,St. Pierre Creek,2/6/2017,91,,,
Unharvested,8,St. Pierre Creek,2/6/2017,94.3,,,
Unharvested,8,St. Pierre Creek,2/6/2017,95,,,
Unharvested,8,St. Pierre Creek,2/6/2017,96.3,,,
Unharvested,8,St. Pierre Creek,2/6/2017,99.2,,,
Unharvested,8,St. Pierre Creek,2/6/2017,99.4,,,
Unharvested,8,St. Pierre Creek,2/6/2017,100.2,,,
Unharvested,8,St. Pierre Creek,2/6/2017,101.8,,,
Unharvested,8,St. Pierre Creek,2/6/2017,105,,,
Unharvested,8,St. Pierre Creek,2/6/2017,105.2,,,
Unharvested,8,St. Pierre Creek,2/6/2017,105.3,,,
Unharvested,9,St. Pierre Creek,2/6/2017,105.3,12,30,Difficult
Unharvested,9,St. Pierre Creek,2/6/2017,103.8,10,,Difficult
Unharvested,9,St. Pierre Creek,2/6/2017,91.1,6,,
Unharvested,9,St. Pierre Creek,2/6/2017,97.7,6,22,
Unharvested,9,St. Pierre Creek,2/6/2017,91.8,5,,
Unharvested,9,St. Pierre Creek,2/6/2017,89,4,,
Unharvested,9,St. Pierre Creek,2/6/2017,86.6,3,,
Unharvested,9,St. Pierre Creek,2/6/2017,79.9,2,,
Unharvested,9,St. Pierre Creek,2/6/2017,7,0,,
Unharvested,9,St. Pierre Creek,2/6/2017,20.2,0,,
Unharvested,9,St. Pierre Creek,2/6/2017,9.6,,,
Unharvested,9,St. Pierre Creek,2/6/2017,12.6,,,
Unharvested,9,St. Pierre Creek,2/6/2017,14.3,,,Calipers found to be off by 1 mm at this point; switched
Unharvested,9,St. Pierre Creek,2/6/2017,20.1,,,
Unharvested,9,St. Pierre Creek,2/6/2017,20.4,,,
Unharvested,9,St. Pierre Creek,2/6/2017,20.5,,,
Unharvested,9,St. Pierre Creek,2/6/2017,20.7,,,
Unharvested,9,St. Pierre Creek,2/6/2017,30.5,,,
Unharvested,9,St. Pierre Creek,2/6/2017,38,,,
Unharvested,9,St. Pierre Creek,2/6/2017,48.3,,,
Unharvested,9,St. Pierre Creek,2/6/2017,49.2,,,
Unharvested,9,St. Pierre Creek,2/6/2017,54,,,
Unharvested,9,St. Pierre Creek,2/6/2017,56,,,
Unharvested,9,St. Pierre Creek,2/6/2017,58.5,,,
Unharvested,9,St. Pierre Creek,2/6/2017,61.8,,,
Unharvested,9,St. Pierre Creek,2/6/2017,63.2,,,
Unharvested,9,St. Pierre Creek,2/6/2017,69.2,,,
Unharvested,9,St. Pierre Creek,2/6/2017,70.5,,,
Unharvested,9,St. Pierre Creek,2/6/2017,78,,,
Unharvested,9,St. Pierre Creek,2/6/2017,80.9,,,
Unharvested,9,St. Pierre Creek,2/6/2017,83,,,
Unharvested,9,St. Pierre Creek,2/6/2017,83.9,,,
Unharvested,9,St. Pierre Creek,2/6/2017,84.5,,,
Unharvested,9,St. Pierre Creek,2/6/2017,84.5,,,
Unharvested,9,St. Pierre Creek,2/6/2017,85,,,
Unharvested,9,St. Pierre Creek,2/6/2017,85.1,,,
Unharvested,9,St. Pierre Creek,2/6/2017,85.7,,,
Unharvested,9,St. Pierre Creek,2/6/2017,86.1,,,
Unharvested,9,St. Pierre Creek,2/6/2017,88.6,,,
Unharvested,9,St. Pierre Creek,2/6/2017,90,,,
Unharvested,9,St. Pierre Creek,2/6/2017,90.4,,,
Unharvested,9,St. Pierre Creek,2/6/2017,90.8,,,
Unharvested,9,St. Pierre Creek,2/6/2017,91.7,,,
Unharvested,9,St. Pierre Creek,2/6/2017,91.8,,,
Unharvested,9,St. Pierre Creek,2/6/2017,92.3,,,
Unharvested,9,St. Pierre Creek,2/6/2017,92.9,,,
Unharvested,9,St. Pierre Creek,2/6/2017,94.7,,,
Unharvested,9,St. Pierre Creek,2/6/2017,96.6,,,
Unharvested,9,St. Pierre Creek,2/6/2017,97,,,
Unharvested,9,St. Pierre Creek,2/6/2017,97.2,,,
Unharvested,9,St. Pierre Creek,2/6/2017,97.3,,,
Unharvested,9,St. Pierre Creek,2/6/2017,98.8,,,
Unharvested,9,St. Pierre Creek,2/6/2017,99.2,,,
Unharvested,9,St. Pierre Creek,2/6/2017,100.2,,,
Unharvested,9,St. Pierre Creek,2/6/2017,103.1,,,
Unharvested,9,St. Pierre Creek,2/6/2017,106.4,,,
Unharvested,9,St. Pierre Creek,2/6/2017,106.5,,,
Unharvested,10,St. Pierre Creek,2/6/2017,104.7,11,37,Difficult
Unharvested,10,St. Pierre Creek,2/6/2017,90.3,9,,
Unharvested,10,St. Pierre Creek,2/6/2017,81.3,5,,
Unharvested,10,St. Pierre Creek,2/6/2017,58.9,2,,
Unharvested,10,St. Pierre Creek,2/6/2017,66.1,2,,
Unharvested,10,St. Pierre Creek,2/6/2017,67.4,2,,
Unharvested,10,St. Pierre Creek,2/6/2017,42.3,1,,
Unharvested,10,St. Pierre Creek,2/6/2017,17.2,0,,
Unharvested,10,St. Pierre Creek,2/6/2017,26,0,,
Unharvested,10,St. Pierre Creek,2/6/2017,26.1,0,,
Unharvested,10,St. Pierre Creek,2/6/2017,14.3,,,
Unharvested,10,St. Pierre Creek,2/6/2017,15.5,,,
Unharvested,10,St. Pierre Creek,2/6/2017,17.1,,,
Unharvested,10,St. Pierre Creek,2/6/2017,38.6,,,
Unharvested,10,St. Pierre Creek,2/6/2017,39.6,,,
Unharvested,10,St. Pierre Creek,2/6/2017,54.6,,,
Unharvested,10,St. Pierre Creek,2/6/2017,55,,,
Unharvested,10,St. Pierre Creek,2/6/2017,55.7,,,
Unharvested,10,St. Pierre Creek,2/6/2017,59.2,,,
Unharvested,10,St. Pierre Creek,2/6/2017,60.3,,,
Unharvested,10,St. Pierre Creek,2/6/2017,60.5,,,
Unharvested,10,St. Pierre Creek,2/6/2017,60.6,,,
Unharvested,10,St. Pierre Creek,2/6/2017,61.7,,,
Unharvested,10,St. Pierre Creek,2/6/2017,78.8,,,
Unharvested,10,St. Pierre Creek,2/6/2017,78.9,,,
Unharvested,10,St. Pierre Creek,2/6/2017,80.1,,,
Unharvested,10,St. Pierre Creek,2/6/2017,85.6,,,
Unharvested,10,St. Pierre Creek,2/6/2017,86.9,,,
Unharvested,10,St. Pierre Creek,2/6/2017,90,,,
Unharvested,10,St. Pierre Creek,2/6/2017,91.2,,,
Unharvested,10,St. Pierre Creek,2/6/2017,91.7,,,
Unharvested,10,St. Pierre Creek,2/6/2017,92.4,,,
Unharvested,10,St. Pierre Creek,2/6/2017,92.7,,,
Unharvested,10,St. Pierre Creek,2/6/2017,95.7,,,
Unharvested,10,St. Pierre Creek,2/6/2017,97,,,
Unharvested,10,St. Pierre Creek,2/6/2017,98,,,
Unharvested,10,St. Pierre Creek,2/6/2017,99.5,,,
Unharvested,10,St. Pierre Creek,2/6/2017,100.8,,,
Unharvested,10,St. Pierre Creek,2/6/2017,101.8,,,
Unharvested,10,St. Pierre Creek,2/6/2017,102.5,,,
Unharvested,1,St. Pierre Creek,5/18/2017,92.7,9,,
Unharvested,1,St. Pierre Creek,5/18/2017,96.7,6,,
Unharvested,1,St. Pierre Creek,5/18/2017,90.9,5,,
Unharvested,1,St. Pierre Creek,5/18/2017,73.1,3,,
Unharvested,1,St. Pierre Creek,5/18/2017,75.2,3,,
Unharvested,1,St. Pierre Creek,5/18/2017,64.9,2,,
Unharvested,1,St. Pierre Creek,5/18/2017,71,2,,
Unharvested,1,St. Pierre Creek,5/18/2017,52.3,1,,
Unharvested,1,St. Pierre Creek,5/18/2017,46,,,
Unharvested,1,St. Pierre Creek,5/18/2017,47,,,
Unharvested,1,St. Pierre Creek,5/18/2017,47.3,,,
Unharvested,1,St. Pierre Creek,5/18/2017,52.1,,,
Unharvested,1,St. Pierre Creek,5/18/2017,79.4,,,
Unharvested,1,St. Pierre Creek,5/18/2017,83.3,,,
Unharvested,1,St. Pierre Creek,5/18/2017,85.5,,,Too difficult
Unharvested,1,St. Pierre Creek,5/18/2017,86.5,,,
Unharvested,1,St. Pierre Creek,5/18/2017,86.6,,,
Unharvested,1,St. Pierre Creek,5/18/2017,87.5,,,
Unharvested,1,St. Pierre Creek,5/18/2017,88.1,,,
Unharvested,1,St. Pierre Creek,5/18/2017,89.1,,,
Unharvested,1,St. Pierre Creek,5/18/2017,89.1,,,
Unharvested,1,St. Pierre Creek,5/18/2017,89.1,,,Too difficult
Unharvested,1,St. Pierre Creek,5/18/2017,89.3,,,
Unharvested,1,St. Pierre Creek,5/18/2017,89.7,,,
Unharvested,1,St. Pierre Creek,5/18/2017,90,,,
Unharvested,1,St. Pierre Creek,5/18/2017,90.6,,,
Unharvested,1,St. Pierre Creek,5/18/2017,90.8,,,
Unharvested,1,St. Pierre Creek,5/18/2017,91.2,,,
Unharvested,1,St. Pierre Creek,5/18/2017,91.6,,,
Unharvested,1,St. Pierre Creek,5/18/2017,94.2,,,
Unharvested,1,St. Pierre Creek,5/18/2017,95.9,,,
Unharvested,1,St. Pierre Creek,5/18/2017,100.2,,,
Unharvested,2,St. Pierre Creek,5/18/2017,90,13,19,Difficult
Unharvested,2,St. Pierre Creek,5/18/2017,101.1,12,27,Very difficult
Unharvested,2,St. Pierre Creek,5/18/2017,96.9,8,17,
Unharvested,2,St. Pierre Creek,5/18/2017,93.7,7,18.5,
Unharvested,2,St. Pierre Creek,5/18/2017,77.7,5,,
Unharvested,2,St. Pierre Creek,5/18/2017,84.2,5,,
Unharvested,2,St. Pierre Creek,5/18/2017,94.5,5,,
Unharvested,2,St. Pierre Creek,5/18/2017,83,4,,
Unharvested,2,St. Pierre Creek,5/18/2017,67.2,3,,
Unharvested,2,St. Pierre Creek,5/18/2017,75.2,2,,
Unharvested,2,St. Pierre Creek,5/18/2017,21,,,
Unharvested,2,St. Pierre Creek,5/18/2017,30.9,,,
Unharvested,2,St. Pierre Creek,5/18/2017,34.5,,,
Unharvested,2,St. Pierre Creek,5/18/2017,59.1,,,
Unharvested,2,St. Pierre Creek,5/18/2017,66,,,
Unharvested,2,St. Pierre Creek,5/18/2017,67.4,,,
Unharvested,2,St. Pierre Creek,5/18/2017,69.6,,,
Unharvested,2,St. Pierre Creek,5/18/2017,75,,,
Unharvested,2,St. Pierre Creek,5/18/2017,78.2,,,
Unharvested,2,St. Pierre Creek,5/18/2017,83.5,,,
Unharvested,2,St. Pierre Creek,5/18/2017,85.2,,,
Unharvested,2,St. Pierre Creek,5/18/2017,85.8,,,
