Block,Treatment,Length,Flowering
6,Control,203,0
6,Control,156,0
6,Control,144,0
6,Control,93,0
6,Control,67,0
6,Control,73,0
5,Partial,191,0
5,Partial,932,1
5,Partial,850,1
5,Partial,918,1
5,Partial,947,1
5,Partial,609,0
5,Partial,256,0
5,Partial,518,0
5,Partial,553,0
5,Partial,269,0
5,Partial,645,1
5,Partial,162,0
5,Partial,341,0
5,Partial,120,0
5,Partial,101,0
5,Partial,264,0
5,Partial,85,0
5,Partial,153,0
5,Partial,187,0
5,Partial,150,0
5,Partial,105,0
5,Partial,55,0
5,Partial,56,0
8,Partial,1290,1
8,Partial,1098,1
8,Partial,902,1
8,Partial,875,1
8,Partial,810,1
8,Partial,875,1
8,Partial,211,0
8,Partial,719,0
8,Partial,761,0
8,Partial,592,0
8,Partial,246,0
8,Partial,180,0
8,Partial,165,0
8,Partial,84,0
8,Partial,174,0
8,Partial,109,0
8,Partial,318,0
8,Partial,145,0
8,Partial,260,0
8,Partial,344,0
8,Partial,714,0
8,Partial,603,0
8,Partial,321,0
8,Partial,173,0
8,Partial,378,0
8,Partial,94,0
8,Partial,195,0
8,Partial,616,0
8,Partial,433,0
8,Partial,555,0
8,Partial,350,0
8,Partial,141,0
8,Partial,130,0
8,Partial,185,0
8,Partial,163,0
8,Partial,96,0
8,Partial,132,0
8,Partial,86,0
8,Partial,63,0
8,Control,888,1
8,Control,782,1
8,Control,974,1
8,Control,831,1
8,Control,708,0
8,Control,919,1
8,Control,650,0
8,Control,182,0
8,Control,425,0
8,Control,392,0
8,Control,552,0
8,Control,640,0
8,Control,249,0
8,Control,111,0
8,Control,74,0
8,Control,64,0
8,Control,58,0
8,Control,83,0
8,Control,87,0
8,Control,109,0
8,Control,86,0
8,Control,91,0
8,Control,133,0
8,Control,68,0
8,Control,142,0
8,Control,178,0
8,Control,102,0
8,Control,466,0
8,Control,169,0
8,Control,533,0
8,Control,216,0
8,Control,457,0
8,Control,122,0
8,Control,80,0
8,Control,161,0
8,Control,165,0
8,Control,90,0
8,Control,67,0
8,Control,132,0
8,Control,68,0
8,Control,193,0
8,Control,164,0
8,Control,181,0
8,Control,162,0
7,Partial,883,1
7,Partial,768,1
7,Partial,816,1
7,Partial,1005,1
7,Partial,1043,1
7,Partial,815,1
7,Partial,810,1
7,Partial,713,0
7,Partial,812,0
7,Partial,694,0
7,Partial,611,0
7,Partial,647,0
7,Partial,633,0
7,Partial,600,0
7,Partial,665,0
7,Partial,681,0
7,Partial,203,0
7,Partial,330,0
7,Partial,159,0
7,Partial,189,0
7,Partial,131,0
7,Partial,209,0
7,Partial,123,0
7,Partial,131,0
7,Partial,90,0
7,Partial,138,0
7,Partial,105,0
7,Partial,111,0
7,Partial,142,0
7,Partial,107,0
7,Partial,150,0
7,Partial,123,0
7,Partial,81,0
7,Partial,152,0
7,Partial,125,0
7,Partial,137,0
7,Partial,89,0
7,Control,1043,1
7,Control,913,1
7,Control,962,1
7,Control,943,1
7,Control,962,1
7,Control,747,1
7,Control,465,0
7,Control,1143,1
7,Control,215,0
7,Control,686,0
7,Control,636,0
7,Control,932,1
7,Control,261,0
7,Control,127,0
7,Control,132,0
7,Control,174,0
7,Control,180,0
7,Control,386,0
7,Control,193,0
7,Control,610,0
7,Control,87,0
7,Control,280,0
7,Control,139,0
7,Control,171,0
7,Control,89,0
6,Full,849,1
6,Full,695,0
6,Full,712,1
6,Full,559,0
6,Full,589,0
6,Full,571,0
6,Full,425,0
6,Full,614,0
6,Full,616,0
6,Full,652,0
6,Full,597,0
6,Full,471,0
6,Full,116,0
6,Full,68,0
6,Full,64,0
6,Full,70,0
6,Full,129,0
6,Full,303,0
6,Full,240,0
6,Full,87,0
6,Full,192,0
6,Full,100,0
6,Full,146,0
6,Full,153,0
6,Full,109,0
6,Full,153,0
6,Partial,1130,1
6,Partial,1023,1
6,Partial,851,1
6,Partial,423,0
6,Partial,604,0
6,Partial,654,0
6,Partial,560,0
6,Partial,215,0
6,Partial,390,0
6,Partial,226,0
6,Partial,307,0
6,Partial,147,0
6,Partial,436,0
6,Partial,173,0
6,Partial,100,0
6,Partial,67,0
6,Partial,141,0
6,Partial,100,0
10,Partial,1133,1
10,Partial,1045,1
10,Partial,942,1
10,Partial,1230,1
10,Partial,1098,1
10,Partial,884,1
10,Partial,630,0
10,Partial,436,0
10,Partial,571,0
10,Partial,700,0
10,Partial,623,0
10,Partial,545,0
10,Partial,543,0
10,Partial,554,0
10,Partial,65,0
10,Partial,141,0
10,Partial,92,0
10,Partial,105,0
10,Partial,103,0
10,Partial,86,0
10,Partial,137,0
10,Partial,135,0
10,Partial,118,0
10,Partial,110,0
10,Partial,105,0
10,Partial,90,0
9,Full,850,1
9,Full,732,1
9,Full,765,1
9,Full,622,1
9,Full,674,0
9,Full,505,0
9,Full,435,0
9,Full,125,0
9,Full,104,0
9,Full,314,0
9,Full,510,0
9,Full,659,0
9,Full,436,0
9,Full,806,0
9,Full,529,0
9,Full,340,0
9,Full,652,0
9,Full,537,0
9,Full,119,0
9,Full,233,0
9,Full,197,0
9,Full,89,0
9,Full,310,0
9,Full,205,0
9,Full,313,0
9,Full,138,0
9,Full,99,0
9,Full,370,0
9,Full,274,0
9,Full,137,0
9,Full,168,0
9,Full,170,0
9,Full,438,0
9,Full,97,0
9,Full,159,0
9,Full,157,0
9,Full,130,0
9,Full,202,0
9,Full,184,0
9,Full,184,0
9,Full,144,0
9,Full,131,0
9,Full,141,0
9,Full,135,0
9,Full,145,0
9,Full,82,0
9,Full,93,0
9,Full,176,0
9,Control,898,1
9,Control,870,1
9,Control,510,0
9,Control,664,0
9,Control,773,0
9,Control,613,0
9,Control,269,0
9,Control,161,0
9,Control,122,0
9,Control,701,0
9,Control,676,0
9,Control,173,0
9,Control,639,0
9,Control,631,0
9,Control,121,0
9,Control,219,0
9,Control,76,0
9,Control,56,0
9,Control,137,0
9,Control,120,0
9,Control,160,0
9,Control,100,0
9,Control,174,0
9,Control,78,0
9,Control,315,0
9,Control,194,0
9,Control,91,0
9,Control,91,0
9,Control,111,0
9,Control,160,0
9,Control,90,0
9,Control,93,0
9,Control,69,0
10,Control,999,1
10,Control,1009,1
10,Control,675,1
10,Control,500,0
10,Control,572,0
10,Control,556,0
10,Control,177,0
10,Control,267,0
10,Control,618,0
10,Control,496,0
10,Control,406,0
10,Control,235,0
10,Control,205,0
10,Control,100,0
10,Control,148,0
10,Control,189,0
10,Control,121,0
10,Control,82,0
10,Control,131,0
10,Control,128,0
10,Control,79,0
10,Control,94,0
10,Control,105,0
10,Control,75,0
10,Control,90,0
10,Full,1095,1
10,Full,731,1
10,Full,661,1
10,Full,617,0
10,Full,618,0
10,Full,674,0
10,Full,560,0
10,Full,158,0
10,Full,173,0
10,Full,228,0
10,Full,162,0
10,Full,92,0
10,Full,75,0
10,Full,98,0
10,Full,177,0
10,Full,69,0
7,Full,1005,1
7,Full,716,0
7,Full,720,0
7,Full,116,0
7,Full,71,0
7,Full,565,0
7,Full,541,0
7,Full,663,0
7,Full,364,0
7,Full,311,0
7,Full,299,0
7,Full,397,0
7,Full,224,0
7,Full,128,0
7,Full,182,0
7,Full,313,0
7,Full,115,0
7,Full,126,0
7,Full,104,0
7,Full,111,0
7,Full,193,0
7,Full,101,0
7,Full,116,0
8,Full,667,0
8,Full,657,0
8,Full,428,0
8,Full,332,0
8,Full,570,0
8,Full,346,0
8,Full,373,0
8,Full,200,0
8,Full,64,0
8,Full,240,0
8,Full,155,0
8,Full,118,0
8,Full,91,0
8,Full,77,0
8,Full,94,0
8,Full,228,0
8,Full,150,0
8,Full,133,0
8,Full,231,0
9,Partial,169,0
9,Partial,148,0
9,Partial,1139,1
9,Partial,880,1
9,Partial,227,0
9,Partial,373,0
9,Partial,346,0
9,Partial,287,0
9,Partial,110,0
9,Partial,555,0
9,Partial,321,0
9,Partial,168,0
9,Partial,102,0
9,Partial,90,0
9,Partial,166,0
9,Partial,204,0
9,Partial,92,0
9,Partial,190,0
9,Partial,129,0
9,Partial,250,0
